000000001	000007263	000032384	D|030162715	008453880
000000001	000014876	000052360	D|037904230	037052729
000000001	000021615	000053144	D|055777559	079733940
000000001	000029143	000077348	D|030849951	088789777
000000001	000038966	000104702	D|081287270	024718986
000000001	000052545	000108012	D|004876680	055849139
000000001	000074576	000132626	D|058915212	097107860
000000001	000079192	000162139	D|092395918	065694683
000000001	000120571	000166250	D|076181775	045411580
000000001	000173634	000193863	D|091934876	003482924
000000001	000176118	000205917	D|077554115	037008346
000000001	000199456	000251825	D|039388824	009824605
000000001	000199992	000262985	D|077795732	063669740
000000001	000228461	000282685	D|000938499	081711537
000000001	000277979	000303472	D|099419656	072235169
000000001	000281740	000365025	D|075103248	020716059
000000001	000305308	000374083	D|001549951	074627175
000000001	000308146	000377348	D|046142420	034412799
000000001	000355498	000385854	D|017036578	007109576
000000001	000417779	000421118	D|041923658	072060145
000000001	000471230	000427504	D|012301794	009491033
000000001	000497449	000450274	D|073900441	098018745
000000001	000533838	000451793	D|004250162	039254322
000000001	000582061	000467680	D|041340263	059441382
000000001	000606144	000470491	D|052861052	059691244
000000001	000611050	000475740	D|008905710	086544596
000000001	000613159	000506174	D|061092790	049237469
000000001	000622556	000525291	D|006962633	079843072
000000001	000627867	000535636	D|072917339	039539391
000000001	000634128	000558954	D|099075390	082144344
000000001	000654766	000566175	D|004606000	036947095
000000001	000673274	000591391	D|067545364	096588450
000000001	000677360	000598087	D|049504422	007592577
000000001	000686968	000615088	D|020684669	084256919
000000001	000702433	000658608	D|047788552	073752566
000000001	000717334	000659272	D|059445362	038072828
000000001	000719826	000663361	D|066422165	019439507
000000001	000742469	000702218	D|023177705	092075948
000000001	000745810	000707437	D|078921255	040895412
000000001	000746542	000737248	D|020520458	076555388
000000001	000776762	000771298	D|007835835	075089832
000000001	000809402	000783942	D|028274808	001668966
000000001	000858623	000791112	D|074870397	024991136
000000001	000860922	000797771	D|033499183	014135747
000000001	000869295	000804113	D|061879285	012542175
000000001	000904804	000807139	D|019610010	027117358
000000001	000910496	000830406	D|008908207	057296455
000000001	000919162	000847823	D|008239376	037329189
000000001	000955377	000980942	D|079734677	019434406
000000001	000998084	000995881	D|086299844	051813246
000000002	000040518	000005303	D|073231728	066691208
000000002	000081628	000006569	D|024254518	037306380
000000002	000085581	000012106	D|090978740	016636235
000000002	000113723	000014284	D|044565895	056474301
000000002	000145694	000021834	D|005148008	089409713
000000002	000198928	000041940	D|034469155	077732835
000000002	000202044	000103823	D|088572775	086698734
000000002	000227302	000160220	D|049159061	074071551
000000002	000255618	000177924	D|099679147	095452810
000000002	000286735	000192679	D|052060521	098283484
000000002	000294791	000205228	D|064391455	092150437
000000002	000322516	000264587	D|088352810	075104200
000000002	000338121	000275128	D|012900811	091032810
000000002	000353014	000294743	D|046412297	015394100
000000002	000362235	000304912	D|096273898	092540894
000000002	000384128	000306586	D|002355392	077877895
000000002	000393048	000308544	D|019078935	006119366
000000002	000394173	000313788	D|033361354	088329495
000000002	000404243	000337845	D|044969902	039178996
000000002	000419223	000346932	D|041638141	029893070
000000002	000423263	000403152	D|055754972	088216042
000000002	000443041	000417050	D|085057172	045080354
